# source: https://product-details.mozilla.org/1.0/firefox_history_stability_releases.json
# fetched: 2026-09-23
# version|YYYY-MM-DD  (date omitted when the source has no day)
3.6.11|2010-10-19
3.6.12|2010-10-27
3.6.13|2010-12-09
3.6.14|2011-03-01
3.6.15|2011-03-04
3.6.16|2011-03-22
3.6.17|2011-04-28
3.6.18|2011-06-21
3.6.19|2011-07-11
3.6.20|2011-08-16
3.6.21|2011-08-30
3.6.22|2011-09-06
3.6.23|2011-09-27
3.6.24|2011-11-08
3.6.25|2011-12-20
3.6.26|2012-01-31
3.6.27|2012-02-17
3.6.28|2012-03-13
4.0.1|2011-04-28
5.0.1|2011-07-11
6.0.1|2011-08-30
6.0.2|2011-09-06
7.0.1|2011-09-29
8.0.1|2011-11-21
9.0.1|2011-12-21
10.0.1|2012-02-10
10.0.2|2012-02-16
10.0.3|2012-03-13
10.0.4|2012-04-24
10.0.5|2012-06-05
10.0.6|2012-07-17
10.0.7|2012-08-28
10.0.8|2012-10-09
10.0.9|2012-10-12
10.0.10|2012-10-26
10.0.11|2012-11-20
10.0.12|2013-01-08
13.0.1|2012-06-15
14.0.1|2012-07-17
15.0.1|2012-09-06
16.0.1|2012-10-11
16.0.2|2012-10-26
17.0.1|2012-11-30
17.0.2|2013-01-08
17.0.3|2013-02-19
17.0.4|2013-03-07
17.0.5|2013-04-02
17.0.6|2013-05-14
17.0.7|2013-06-25
17.0.8|2013-08-06
17.0.9|2013-09-17
17.0.10|2013-10-29
17.0.11|2013-11-15
18.0.1|2013-01-18
18.0.2|2013-02-05
19.0.1|2013-02-27
19.0.2|2013-03-07
20.0.1|2013-04-11
23.0.1|2013-08-16
24.1.0|2013-10-29
24.1.1|2013-11-15
24.2.0|2013-12-10
24.3.0|2014-02-04
24.4.0|2014-03-18
24.5.0|2014-04-29
24.6.0|2014-06-10
24.7.0|2014-07-22
24.8.0|2014-09-02
24.8.1|2014-09-24
25.0.1|2013-11-15
27.0.1|2014-02-14
29.0.1|2014-05-09
31.1.0|2014-09-02
31.1.1|2014-09-24
31.2.0|2014-10-14
31.3.0|2014-12-01
31.4.0|2015-01-13
31.5.0|2015-02-24
31.5.2|2015-03-20
31.5.3|2015-03-21
31.6.0|2015-03-31
31.7.0|2015-05-12
31.8.0|2015-07-02
32.0.1|2014-09-12
32.0.2|2014-09-18
32.0.3|2014-09-24
33.0.1|2014-10-24
33.0.2|2014-10-28
33.0.3|2014-11-06
33.1.1|2014-11-14
34.0.5|2014-12-01
35.0.1|2015-01-26
36.0.1|2015-03-05
36.0.3|2015-03-20
36.0.4|2015-03-21
37.0.1|2015-04-03
37.0.2|2015-04-20
38.0.1|2015-05-14
38.0.5|2015-06-02
38.1.0|2015-07-02
38.1.1|2015-08-06
38.2.0|2015-08-11
38.2.1|2015-08-27
38.3.0|2015-09-22
38.4.0|2015-10-03
38.5.0|2015-12-15
38.5.1|2015-12-21
38.5.2|2015-12-22
38.6.0|2016-01-26
38.6.1|2016-02-11
38.7.0|2016-03-08
38.7.1|2016-03-17
38.8.0|2016-04-26
39.0.3|2015-08-06
40.0.2|2015-08-13
40.0.3|2015-08-27
41.0.1|2015-09-30
41.0.2|2015-10-15
43.0.1|2015-12-18
43.0.2|2015-12-22
43.0.3|2015-12-28
43.0.4|2016-01-06
44.0.1|2016-02-08
44.0.2|2016-02-11
45.0.1|2016-03-18
45.0.2|2016-04-11
45.1.1|2016-05-03
45.2.0|2016-06-07
45.3.0|2016-08-02
45.4.0|2016-09-20
45.5.0|2016-11-15
45.5.1|2016-11-30
45.6.0|2016-12-13
45.7.0|2017-01-24
45.8.0|2017-03-07
45.9.0|2017-04-19
46.0.1|2016-05-03
47.0.1|2016-06-28
47.0.2|2016-11-03
48.0.1|2016-08-18
48.0.2|2016-08-24
49.0.1|2016-09-23
49.0.2|2016-10-20
50.0.1|2016-11-28
50.0.2|2016-11-30
50.1.0|2016-12-13
51.0.1|2017-01-26
52.0.1|2017-03-17
52.0.2|2017-03-29
52.1.0|2017-04-19
52.1.1|2017-05-05
52.1.2|2017-05-19
52.2.0|2017-06-13
52.2.1|2017-06-29
52.3.0|2017-08-08
52.4.0|2017-09-28
52.4.1|2017-10-10
52.5.0|2017-11-14
52.5.2|2017-12-07
52.5.3|2017-12-28
52.6.0|2018-01-23
52.7.0|2018-03-13
52.7.1|2018-03-14
52.7.2|2018-03-16
52.7.3|2018-03-26
52.7.4|2018-04-30
52.8.0|2018-05-09
52.8.1|2018-06-06
52.9.0|2018-06-26
53.0.2|2017-05-05
53.0.3|2017-05-19
54.0.1|2017-06-29
55.0.1|2017-08-10
55.0.2|2017-08-16
55.0.3|2017-08-25
56.0.1|2017-10-09
56.0.2|2017-10-26
57.0.1|2017-11-30
57.0.2|2017-12-07
57.0.3|2017-12-28
57.0.4|2018-01-04
58.0.1|2018-01-29
58.0.2|2018-02-07
59.0.1|2018-03-16
59.0.2|2018-03-26
59.0.3|2018-04-30
60.0.1|2018-05-16
60.0.2|2018-06-06
60.1.0|2018-06-26
60.2.0|2018-09-05
60.2.1|2018-09-21
60.2.2|2018-10-02
60.3.0|2018-10-23
60.4.0|2018-12-11
60.5.0|2019-01-29
60.5.1|2019-02-12
60.5.2|2019-02-22
60.6.0|2019-03-19
60.6.1|2019-03-22
60.6.2|2019-05-05
60.6.3|2019-05-08
60.7.0|2019-05-21
60.7.1|2019-06-18
60.7.2|2019-06-20
60.8.0|2019-07-09
60.9.0|2019-09-03
61.0.1|2018-07-05
61.0.2|2018-08-08
62.0.2|2018-09-21
62.0.3|2018-10-02
63.0.1|2018-10-31
63.0.3|2018-11-15
64.0.2|2019-01-09
65.0.1|2019-02-12
65.0.2|2019-02-28
66.0.1|2019-03-22
66.0.2|2019-03-27
66.0.3|2019-04-10
66.0.4|2019-05-05
66.0.5|2019-05-07
67.0.1|2019-06-04
67.0.2|2019-06-11
67.0.3|2019-06-18
67.0.4|2019-06-20
68.0.1|2019-07-18
68.0.2|2019-08-14
68.1.0|2019-09-03
68.2.0|2019-10-22
68.3.0|2019-12-03
68.4.0|2020-01-07
68.4.1|2020-01-08
68.4.2|2020-01-20
68.5.0|2020-02-11
68.6.0|2020-03-10
68.6.1|2020-04-03
68.7.0|2020-04-07
68.8.0|2020-05-05
68.9.0|2020-06-02
68.10.0|2020-06-30
68.11.0|2020-07-28
68.12.0|2020-08-25
69.0.1|2019-09-18
69.0.2|2019-10-03
69.0.3|2019-10-10
70.0.1|2019-10-31
72.0.1|2020-01-08
72.0.2|2020-01-20
73.0.1|2020-02-18
74.0.1|2020-04-03
76.0.1|2020-05-08
77.0.1|2020-06-03
78.0.1|2020-07-01
78.0.2|2020-07-09
78.1.0|2020-07-28
78.2.0|2020-08-25
78.3.0|2020-09-22
78.3.1|2020-10-01
78.4.0|2020-10-20
78.4.1|2020-11-09
78.5.0|2020-11-17
78.6.0|2020-12-15
78.6.1|2021-01-06
78.7.0|2021-01-26
78.7.1|2021-02-05
78.8.0|2021-02-23
78.9.0|2021-03-23
78.10.0|2021-04-19
78.10.1|2021-05-04
78.11.0|2021-06-01
78.12.0|2021-07-13
78.13.0|2021-08-10
78.14.0|2021-09-07
78.15.0|2021-10-05
80.0.1|2020-09-01
81.0.1|2020-10-01
81.0.2|2020-10-13
82.0.1|2020-10-27
82.0.2|2020-10-28
82.0.3|2020-11-09
84.0.1|2020-12-22
84.0.2|2021-01-06
85.0.1|2021-02-05
85.0.2|2021-02-09
86.0.1|2021-03-11
88.0.1|2021-05-05
89.0.1|2021-06-16
89.0.2|2021-06-23
90.0.1|2021-07-19
90.0.2|2021-07-22
91.0.1|2021-08-17
91.0.2|2021-08-24
91.1.0|2021-09-07
91.2.0|2021-10-05
91.3.0|2021-11-02
91.4.0|2021-12-07
91.4.1|2021-12-16
91.5.0|2022-01-11
91.5.1|2022-01-27
91.6.0|2022-02-08
91.6.1|2022-03-05
91.7.0|2022-03-08
91.7.1|2022-03-14
91.8.0|2022-04-05
91.9.0|2022-05-03
91.9.1|2022-05-20
91.10.0|2022-05-31
91.11.0|2022-06-28
91.12.0|2022-07-26
91.13.0|2022-08-23
92.0.1|2021-09-23
94.0.1|2021-11-04
94.0.2|2021-11-22
95.0.1|2021-12-16
95.0.2|2021-12-19
96.0.1|2022-01-14
96.0.2|2022-01-20
96.0.3|2022-01-27
97.0.1|2022-02-17
97.0.2|2022-03-05
98.0.1|2022-03-14
98.0.2|2022-03-23
99.0.1|2022-04-12
100.0.1|2022-05-16
100.0.2|2022-05-20
101.0.1|2022-06-09
102.0.1|2022-07-13
102.1.0|2022-07-26
102.2.0|2022-08-23
102.3.0|2022-09-20
102.4.0|2022-10-18
102.5.0|2022-11-15
102.6.0|2022-12-13
102.7.0|2023-01-17
102.8.0|2023-02-14
102.9.0|2023-03-14
102.10.0|2023-04-11
102.11.0|2023-05-09
102.12.0|2023-06-06
102.13.0|2023-07-04
102.14.0|2023-08-01
102.15.0|2023-08-29
102.15.1|2023-09-12
103.0.1|2022-08-01
103.0.2|2022-08-09
104.0.1|2022-08-30
104.0.2|2022-09-06
105.0.1|2022-09-23
105.0.2|2022-10-04
105.0.3|2022-10-07
106.0.1|2022-10-20
106.0.2|2022-10-26
106.0.3|2022-10-31
106.0.4|2022-11-03
106.0.5|2022-11-04
107.0.1|2022-11-29
108.0.1|2022-12-16
108.0.2|2023-01-05
109.0.1|2023-01-31
110.0.1|2023-02-28
111.0.1|2023-03-21
112.0.1|2023-04-17
112.0.2|2023-04-25
113.0.1|2023-05-12
113.0.2|2023-05-23
114.0.1|2023-06-09
114.0.2|2023-06-20
115.0.1|2023-07-07
115.0.2|2023-07-11
115.0.3|2023-07-27
115.1.0|2023-08-01
115.2.0|2023-08-29
115.2.1|2023-09-12
115.3.0|2023-09-26
115.3.1|2023-09-28
115.4.0|2023-10-24
115.5.0|2023-11-21
115.6.0|2023-12-19
115.7.0|2024-01-23
115.8.0|2024-02-20
115.9.0|2024-03-19
115.9.1|2024-03-22
115.10.0|2024-04-16
115.11.0|2024-05-14
115.12.0|2024-06-11
115.13.0|2024-07-09
115.14.0|2024-08-06
115.15.0|2024-09-03
115.16.0|2024-10-01
115.16.1|2024-10-09
115.17.0|2024-10-29
115.18.0|2024-11-26
115.19.0|2025-01-07
115.20.0|2025-02-04
115.21.0|2025-03-04
115.21.1|2025-03-27
115.22.0|2025-04-01
115.23.0|2025-04-29
115.23.1|2025-05-17
115.24.0|2025-05-27
115.25.0|2025-06-24
115.26.0|2025-07-22
115.27.0|2025-08-19
115.28.0|2025-09-16
115.29.0|2025-10-14
115.30.0|2025-11-11
115.31.0|2025-12-09
115.32.0|2026-01-13
115.32.1|2026-02-16
115.33.0|2026-02-24
115.34.0|2026-03-24
115.34.1|2026-04-07
115.35.0|2026-04-21
115.35.1|2026-04-28
115.35.2|2026-05-07
115.36.0|2026-05-19
115.37.0|2026-06-16
115.38.0|2026-07-21
115.39.0|2026-08-18
115.40.0|2026-09-01
115.41.0|2026-09-15
116.0.1|2023-08-04
116.0.2|2023-08-07
116.0.3|2023-08-16
117.0.1|2023-09-12
118.0.1|2023-09-28
118.0.2|2023-10-10
119.0.1|2023-11-07
120.0.1|2023-11-30
121.0.1|2024-01-09
122.0.1|2024-02-06
123.0.1|2024-03-05
124.0.1|2024-03-22
124.0.2|2024-04-02
125.0.1|2024-04-16
125.0.2|2024-04-22
125.0.3|2024-04-29
126.0.1|2024-05-28
127.0.1|2024-06-19
127.0.2|2024-06-25
128.0.2|2024-07-23
128.0.3|2024-07-26
128.1.0|2024-08-06
128.2.0|2024-09-03
128.3.0|2024-10-01
128.3.1|2024-10-09
128.4.0|2024-10-29
128.5.0|2024-11-26
128.5.1|2024-11-29
128.5.2|2024-12-12
128.6.0|2025-01-07
128.7.0|2025-02-04
128.8.0|2025-03-04
128.8.1|2025-03-27
128.9.0|2025-04-01
128.10.0|2025-04-29
128.10.1|2025-05-17
128.11.0|2025-05-27
128.12.0|2025-06-24
128.13.0|2025-07-22
128.14.0|2025-08-19
129.0.1|2024-08-13
129.0.2|2024-08-20
130.0.1|2024-09-17
131.0.2|2024-10-09
131.0.3|2024-10-14
132.0.1|2024-11-04
132.0.2|2024-11-12
133.0.3|2024-12-10
134.0.1|2025-01-14
134.0.2|2025-01-21
135.0.1|2025-02-18
136.0.1|2025-03-11
136.0.2|2025-03-18
136.0.3|2025-03-25
136.0.4|2025-03-27
137.0.1|2025-04-08
137.0.2|2025-04-15
138.0.1|2025-05-01
138.0.3|2025-05-13
138.0.4|2025-05-17
139.0.1|2025-05-29
139.0.4|2025-06-10
140.0.1|2025-06-26
140.0.2|2025-06-27
140.0.4|2025-07-08
140.1.0|2025-07-22
140.2.0|2025-08-19
140.3.0|2025-09-16
140.3.1|2025-09-23
140.4.0|2025-10-14
140.5.0|2025-11-11
140.6.0|2025-12-09
140.7.0|2026-01-13
140.7.1|2026-02-16
140.8.0|2026-02-24
140.9.0|2026-03-24
140.9.1|2026-04-07
140.10.0|2026-04-21
140.10.1|2026-04-28
140.10.2|2026-05-07
140.11.0|2026-05-19
140.12.0|2026-06-16
140.13.0|2026-07-21
140.14.0|2026-08-18
140.15.0|2026-09-01
140.16.0|2026-09-15
141.0.2|2025-08-05
141.0.3|2025-08-07
142.0.1|2025-08-27
143.0.1|2025-09-19
143.0.3|2025-09-30
143.0.4|2025-10-03
144.0.2|2025-10-28
145.0.1|2025-11-18
145.0.2|2025-11-25
146.0.1|2025-12-18
147.0.1|2026-01-16
147.0.2|2026-01-27
147.0.3|2026-02-04
147.0.4|2026-02-16
148.0.2|2026-03-10
149.0.2|2026-04-07
150.0.1|2026-04-28
150.0.2|2026-05-07
150.0.3|2026-05-12
151.0.1|2026-05-21
151.0.2|2026-05-26
151.0.3|2026-06-02
151.0.4|2026-06-09
152.0.1|2026-06-18
152.0.2|2026-06-23
152.0.3|2026-06-25
152.0.4|2026-06-30
152.0.5|2026-07-07
152.0.6|2026-07-14
153.0.1|2026-07-28
153.0.3|2026-08-04
153.0.4|2026-08-11
153.1.0|2026-08-18
153.2.0|2026-09-01
153.3.0|2026-09-15
154.0.1|2026-08-25
155.0.1|2026-09-04
156.0.1|2026-09-22
